tweet,sentiment,Subjectivity
get first swigy orders use code grab checkout max discount order tca,2,0.3333333333333333
never use food service deliver worst quality food help desk executive politnes,0,1.0
hi want refund zomato gold membership bought separate set tampc,1,0.0
horrible experience swigy today received bad quality food subway word custome,0,0.8333333333333333
policy change even allowed pl buy zomato gold membership,1,0.0
amazing food delivery ap never seen bz deliver food even hrs order,2,0.9
review paji amp sons paschim vihar,1,0.0
hunger tweets help handle get swigy ap,1,0.0
situations usually open swigy ap order something regret next morning,1,0.25
scrolling fodpanda could decide eat closed ap dia keluar notification ni ay,0,0.1
hi ad sorry hear would like assure,0,1.0
guys really good spoiling ones ocasioni cheated,2,0.6000000000000001
guys really good spoiling ones ocasioni cheated ar,2,0.6000000000000001
know choose swigy spoiling bih day,1,0.0
always knew sucks fucking delivery boys default appropriately promis,0,0.5333333333333333
still response sent order id asked nothing loyal customer mor,2,0.8333333333333334
get first swigy order use code binge minimum order value max discount order tca,2,0.3333333333333333
check fashioned cocktail twist headlines check editor notes th,1,0.0
change announced gold member happy see inc,2,1.0
cooking basic life skill mastered irrespective age gender take self,1,0.125
good bye worst customer supo last orders delivered mins upon inquiry got,0,0.5555555555555556
truly believe customers first priority taken care share us order code,2,0.3333333333333333
ordered fav restaurant order placed mins ago driver minute away pe,1,0.0
asap hrs zomato monkeys,1,0.0
hey akash getting check,1,0.0
invoke arbitration unfair enrichment damages loss food mental agony,0,0.6
cravepay cheatofertried ordering using code paymentsgot failed,0,0.3
waiting order almost hours say farewell order yet talked zomato guys sup,1,0.0
fodpanda offer flat upto rs code save pls share,0,0.125
essentially everything thst sounds good twitter bio,2,0.45000000000000007
hi endeavour provide seamless supo satisfactory resolution dm fo,2,0.1
perfect way ruin sunday use every order struggle followed random pathetic peopl,0,0.8333333333333334
fodpanda loot get rs food order rs,1,0.0
sure number check zomato account id rajancom team,2,0.8888888888888888
complaint number raised order number thanks del,0,0.2
staup street india answer amazon go zomato cracking whip neurotags fighting counterfeit mar,1,0.0
yes true yd,2,0.65
freaking pissed fodpanda experienced two order cancelled today one lunch another dinner ev,2,0.9
guys millionaire treating guys like unmake,1,0.0
check fashioned cocktail twist headlines check editor notes restaur,1,0.0
look matter pretty serious shameful guys,0,0.8333333333333333
zomato delivers poor quality food get good quality restaurant visit insted,2,0.6000000000000001
unmake change conditions subscribed,1,0.0
unmake change conditions subscribed post,1,0.0
order horrible butter chikhen really nice upto mark,0,1.0
kebab instead tika catch getting checked,1,0.0
hi swigy wrong items delivered twice single day first time cheer,0,0.48253968253968255
treats fareast available pune look review wok hei aundh pune,2,0.4
pathetic services got call restaurant saying delivery boy unavailable ph,0,1.0
moment enjoy sweet moment solitude enjoy zomato orders axis bank credit debit cards,2,0.5499999999999999
love checksin twitter zomato oyo starbucks celebrated section ruling,2,0.675
please supo zomato order bokmyshow well thanks,2,0.2
order booked minutes zomato seriously online food ap,0,0.6666666666666666
nephew wanted pizza last moment railway station delivered platform likeadream,1,0.06666666666666667
order id bckqt order confirmed pm minutes expected time till order,2,0.7
already hours gone,1,0.0
fodpanda flat upto rs food orders users cb upto via phonepe use code get,0,0.125
give treat taste buds delicious food zomato without worrying expenses pay using indian bank,2,1.0
fodpanda flat upto rs food orders users cb upto via phonepe use code get li,0,0.125
cravings strike anytime anywhere indulge fodpanda cravepay biggest food pay town,1,0.0
believe contacted fodpanda pakistan would request contact desired coun,1,0.0
seroius even minutes information food ordered please shut shops,1,0.0
opened swigy ap book cab bcos well priorities,1,0.0
picture speak order number order placed swigy,1,0.0
use gold per couple planning refund membership obviate hus,1,0.0
look review pablo neo soho mall tanjung duren jaka,1,0.0
actually like fodpanda delivero windbreaker,1,0.1
fastest food delivery companies india tied nd position swigy zomato scotsy st medical interns deliv,1,0.0
thank interesting topics bring discuss one great cos worry,2,0.625
oh run breaking aston band btvi,1,0.0
wanted fodpanda lazy get house thought steak best served hot spot,2,0.7166666666666668
many minutes want fodpanda,2,0.5
restaurant using zomato tape even order uber eats,1,0.0
boi fodpanda send food pls love,2,0.6
wtf order booked via shows delivery post order calls cancel,0,1.0
pasta kind day us order zomato uber eats tala,2,0.9
wonder fodpanda giving discounts negate swigy amp ubereats,1,0.0
swigy free delivery,2,0.8
hi endeavour provide seamless supo satisfactory resolution,2,0.1
trying order food verification failing days order zomoto swigy,1,0.0
trust lost middle making payment online delivery get,1,0.0
hey abhishek sounds quite strange kindly share order details shal,2,0.525
get ur order delivered swigydownload ap,1,0.0
get amzing discount fodpanda food fodpanda food foodie foodies fodlovers fodcoupons discount,1,0.0
fodpanda dese rs delivery charge hyderabad use code nine offer ends today link,1,0.0
guys fool hr food,1,0.0
hi kindly share order details shal get checked asap,2,0.9
everytime order swigy literally regret bullshit service already hours,1,0.0
seems like promoting problem rs deals ordered received th,1,0.0
people please disorder ordered shakes,1,0.0
service degraded look options guys,1,0.0
thanks timely delivery food delicious,2,0.6
reply still fodpanda looks like wan na survive long market horrible customer service,0,0.5166666666666667
issue resolved trust swigy reinstated yes need something delivery boys,1,0.0
missed item ordered swigy missed item called customer care solved issue like pro,1,0.0
ha obviate food delivered hours little considerable,0,0.475
remember check menu special buffets events zomato decide drop would great,2,0.6607142857142857
review big yellow door vijay nagar foodie zomato,1,0.05
new policy zomato dot customers cancel order,2,0.45454545454545453
received food foul smell order krupa mess amp tiffins way enjoy yo,2,0.3375
throwing food,1,0.0
near hours cancel another ordrler would take time pathetic service,0,0.7
hi sourav help kindly dm us co,2,0.9
order number cancel order rider said wi,1,0.0
allow us cancel order minute placed ordered incorrectly bcz,1,0.0
hey sid getting checked reach asap,1,0.0
lateordeliverylotlocustomer bad experience zomato made one order userid,0,0.6666666666666666
order number cancel order rider said,1,0.0
shut treats program,1,0.0
revised nonsense unlocking restriction person paid zomato gold want,1,0.0
hey man burgers like love first bite reaching,2,0.4666666666666667
guys miser initiate refund procesit tagline workin,1,0.0
click probably check zomato though,1,0.0
bite reaches case sadly ser,0,1.0
leave always issues ordered zomato,1,0.0
lateordeliverylotlocustomer bad experience zomato made one order userid ex,0,0.6666666666666666
staying th floor charm feel feeble tremor even bed shook little thought,0,0.75
tomorrow use zomato golds table earlier,1,0.5
hey sunny want wait much reaching super soon mr singh,2,0.43333333333333335
register swigy mvhiym earn discount download,1,0.0
retrospectively impose breach contract,1,0.0
contract law great even clause origin,2,0.75
hey arnav sounds huful please share details us shal get checked mr singh,1,0.0
clarify usually cheer organisation publicly understand sometimes things go wr,0,0.15833333333333333
hi deep sorry hear would like assure,0,0.7
someone order dishes prices higher platform say,2,0.5
another incident restaurant order number wxgyp declined malabar restaurant ban,1,0.0
fodpanda badservice wasted half hour know food would delivered fasos receive,0,0.08333333333333333
zomato thanks sarcasm pa,2,0.2
biryani sundaymotivation sounds delicious get amazing offer fodpanda ap,2,0.95
opinion one underrated facts info edge investe companies abil,1,0.0
friends ordered application showing restaurant open payment ord,1,0.5
really disappointed ordered food restaurant waiting confirmation,0,0.75
every day discover new angle look pizza keeps looking better every day marie jose via zomato ap,2,0.4772727272727273
rs restaurant kms away wonder many swigy delivery boys easy money yeah,2,0.6666666666666667
dear introduced fair usage policies paners custom,2,0.9
register swigy rgqha earn rs download,1,0.0
look review le plaisir decan gymkhana,1,0.0
hey anirudh help kindly dm us contact number,2,0.9
review blue tokai coffee roasters champa gali saket,1,0.1
season indulge indian authentic flavours call us indiancuisine flavour foodie zo,2,0.75
way fodpanda ocks account log account single device soon,0,0.21428571428571427
worst ap ever seen first ploted auto order code ap showing order deli,0,0.6666666666666666
felling cheated,1,0.0
hey himanshu sound quite tangled kindly share digit zomato order id,2,0.65
anyone going reply,1,0.0
bharatbandh applicable drones wondering swigy alternative plans deliver food tomorrow,1,0.0
swigy mobile team hiring looking multiple open positions ios amp rn solving interesting pro,2,0.3333333333333333
swigy staff go viable checks associated us please let us kno,1,0.0
order medium pizzas oregano sachets pls sta charging,1,0.0
register swigy vdngo earn rs download,1,0.0
usually dine alone upto people paid upfront gold membership upda,0,0.25
suppose call today yet ignored speaks volume service good luck,2,0.6000000000000001
worst experience please check response zomato kindly check time gap welfin,0,0.95
worst customer experience zomato gold far,0,1.0
good luck great customer supo team waiting hours,2,0.675
guys please use zomato gold today,1,0.0
swigy mobile team hiring looking multiple open positions ios amp rn solving interesting problems,2,0.3333333333333333
delivering begers order alrea,1,0.0
worst service provider deliver cold food appoint rude delivery guy,0,0.8666666666666667
want available twitter chat clear guilt sir,2,0.39166666666666666
swigy food order amp delivery using swigy order food beverages,1,0.0
hey ankur apologies hassle kindly share order details,2,0.9
delivering begers order already,1,0.0
uninstaled ap dude,1,0.0
delivering begers order alread,1,0.0
cutomer care executive already explained procedure protocols fall_short_of,1,0.0
ha wait save paise logging swigy right away,2,0.5357142857142857
placed order placed another order half hour later swigy delivered,0,0.08333333333333333
hi akshay sorry hear would like assure,0,1.0
order id specifically asked jain preparation food delivered,1,0.0
adveising done right,2,0.5357142857142857
recivied call dis guys serious nonmember,0,0.6666666666666666
mcdonalds mcd swigy order grossed today see cockroach food wa,1,0.0
hi vaibhav never intend disappoint way getting che,1,0.0
swigy ubereats tomato open family loudly arguing background kaju draksh havmore ice,2,0.65
ok giving tips waiters restaurant food delivery swigyubereats guys work harder former,2,0.16666666666666666
waiting hours order cancelled worst service zomato spoile,0,1.0
ok giving tips waiters restaurant food delivery swigyubereats guys work har,2,0.5
coupon paytm applying ordering zomato declined,1,0.0
delivery aurangabad wear helmets drive impunity wrong side roads,0,0.9
reply supo team ignore restaura,1,0.0
reply supo team ignore restaurant,1,0.0
reply supo team ignore restaur,1,0.0
swigy delivery person covered kms deliver food last nite amp yet smiles excellent service swigy,2,0.5333333333333333
hi kindly dm us contact number reach,2,0.9
use live tracking one updating received order delayed minu,2,0.5
ordered zomato around pm estimated time delivery upto,1,0.0
hey husain kindly share order details shal get checked asap,2,0.9
talked zomato supo also using foul language providing resolution making fool,1,0.0
could please give mobile phone stand thingies delivery boys drive one,1,0.0
hi chinmay clearly lot time sunday night dinner get,2,0.3833333333333333
dear swigy food delivery business say get back,1,0.0
reject already hours man imagined mins,1,0.0
order number ordered hour back still delivery executive assigned wast,1,0.0
hello fodpanda old friend,2,0.2
hi intuit distress caused completely bear responsibility fix,2,0.4
waiting asap,1,0.0
pity casual spoiling customers dinners hey,0,0.5333333333333333
mr singh pity casual spoiling customers dinners,0,0.5333333333333333
